steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
256000,250,1,42.5336,5171.3,-0.0,0.270607,0.991094,0.038811
257024,251,1,42.5336,5171.3,-0.0,0.238077,0.990534,0.0227
258048,252,1,42.5336,5171.3,0.0,0.249075,0.990807,0.019875
259072,253,1,42.4999,5164.3,-0.0,0.426691,0.990841,0.128675
260096,254,1,42.4999,5164.3,-0.0,0.193624,0.990824,0.044907
261120,255,1,42.4999,5164.3,-0.0,0.241267,0.989937,0.016855
262144,256,1,42.4999,5164.3,-0.0,0.206775,0.991112,0.076034
263168,257,1,42.4917,5159.5,0.0,0.278713,0.990541,0.066938
264192,258,1,42.4917,5159.5,0.0,0.210446,0.991179,0.054845
265216,259,1,42.4917,5159.5,-0.0,0.198314,0.990885,0.014722
266240,260,1,42.4917,5159.5,-0.0,0.202305,0.991632,0.089408
267264,261,1,42.4917,5159.5,-0.0,0.185263,0.990576,0.090444
268288,262,1,42.4917,5159.5,0.0,0.237308,0.991243,0.017336
269312,263,1,42.4917,5159.5,0.0,0.252528,0.991496,0.043174
270336,264,1,42.6117,5193.5,0.0,0.231906,0.991071,0.009481
271360,265,1,42.6117,5193.5,0.0,0.223374,0.990736,0.0172
272384,266,1,42.6117,5193.5,0.0,0.239152,0.990164,0.013155
273408,267,1,42.6117,5193.5,-0.0,0.519992,0.990791,0.202661
274432,268,1,42.6117,5193.5,-0.0,0.165415,0.991181,0.073554
275456,269,1,42.5884,5182.2,-0.0,0.20462,0.990259,0.022319
276480,270,1,42.5884,5182.2,0.0,0.356114,0.990294,0.069981
277504,271,1,42.5884,5182.2,-0.0,0.25291,0.991143,0.017286
278528,272,1,42.5884,5182.2,0.0,0.230811,0.990589,0.022375
279552,273,1,42.5884,5182.2,0.0,0.219823,0.990509,0.034184
280576,274,1,42.5647,5180.0,0.0,0.259838,0.989745,0.027567
281600,275,1,42.5647,5180.0,0.0,0.301221,0.991083,0.037221
282624,276,1,42.5647,5180.0,-0.0,0.225588,0.991192,0.0225
283648,277,1,42.5647,5180.0,0.0,0.220119,0.990996,0.049634
284672,278,1,42.5647,5180.0,-0.0,0.244964,0.990687,0.022975
285696,279,1,42.6259,5190.2,-0.0,0.23874,0.99053,0.039906
286720,280,1,42.6259,5190.2,0.0,0.230928,0.991178,0.021783
287744,281,1,42.6259,5190.2,0.0,0.208392,0.991329,0.037985
288768,282,1,42.6259,5190.2,-0.0,0.221936,0.991049,0.013594
289792,283,1,42.6259,5190.2,-0.0,0.22456,0.99074,0.017663
290816,284,1,42.6259,5190.2,0.0,0.228447,0.991313,0.016578
291840,285,1,42.7199,5208.9,0.0,0.177288,0.990162,0.042438
292864,286,1,42.7199,5208.9,0.0,0.257472,0.990722,0.047887
293888,287,1,42.7199,5208.9,-0.0,0.364173,0.990478,0.081876
294912,288,1,42.7199,5208.9,0.0,0.265974,0.989995,0.018657
295936,289,1,42.7199,5208.9,-0.0,0.220114,0.991248,0.055527
296960,290,1,42.6562,5198.7,0.0,0.297229,0.990257,0.056201
297984,291,1,42.6562,5198.7,-0.0,0.273116,0.990215,0.048433
299008,292,1,42.6562,5198.7,-0.0,0.307845,0.990834,0.041193
300032,293,1,42.6562,5198.7,0.0,0.194715,0.990965,0.054709
301056,294,1,42.6562,5198.7,-0.0,0.293349,0.990862,0.08004
