steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
12224,191,11.0,0.5238,10000.0,-0.0,0.001157,1.098612,0.073777
12288,192,11.0,0.5238,10000.0,-0.0,0.000626,1.098612,0.048174
12352,193,11.0,0.5238,10000.0,0.0,0.001281,1.098612,0.073087
12416,194,11.0,0.5238,10000.0,-0.0,0.000906,1.098612,0.064168
12480,195,11.0,0.5238,10000.0,-0.0,0.000462,1.098612,0.050538
12544,196,11.0,0.5238,10000.0,-0.0,0.00072,1.098612,0.060435
12608,197,11.0,0.5238,10000.0,-0.0,0.000888,1.098612,0.070391
12672,198,11.0,0.5238,10000.0,-0.0,0.000667,1.098612,0.060902
12736,199,11.0,0.5238,10000.0,0.0,0.001616,1.098612,0.095925
12800,200,11.0,0.5238,10000.0,-0.0,0.00066,1.098612,0.057303
12864,201,11.0,0.5238,10000.0,0.0,0.000139,1.098612,0.013742
12928,202,11.0,0.5238,10000.0,-0.0,0.000319,1.098612,0.029637
12992,203,11.0,0.5238,10000.0,-0.0,0.000213,1.098612,0.015986
13056,204,11.0,0.5238,10000.0,-0.0,0.000533,1.098612,0.047003
13120,205,11.0,0.5238,10000.0,0.0,0.000777,1.098612,0.046663
13184,206,11.0,0.5238,10000.0,-0.0,0.002187,1.098612,0.109388
13248,207,11.0,0.5238,10000.0,-0.0,0.00032,1.098612,0.029717
13312,208,11.0,0.5238,10000.0,0.0,0.000223,1.098612,0.00349
13376,209,11.0,0.5238,10000.0,-0.0,0.00022,1.098612,0.029527
13440,210,11.0,0.5238,10000.0,-0.0,0.000302,1.098612,0.034914
13504,211,11.0,0.5238,10000.0,0.0,0.000279,1.098612,0.038702
13568,212,11.0,0.5238,10000.0,0.0,8.8e-05,1.098612,0.004668
13632,213,11.0,0.5238,10000.0,-0.0,7.9e-05,1.098612,0.007381
13696,214,11.0,0.5238,10000.0,0.0,0.000297,1.098612,0.020754
13760,215,11.0,0.5238,10000.0,0.0,0.548171,1.098612,1.731373
13824,216,11.0,0.5238,10000.0,-0.0,0.00035,1.098612,0.007896
13888,217,11.0,0.5238,10000.0,0.0,9.4e-05,1.098612,0.012922
13952,218,11.0,0.5238,10000.0,-0.0,0.000143,1.098612,0.018193
