steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
74240,290,14.2857,0.4975,10000.0,-3.128614,0.045575,1.098314,0.569673
74496,291,14.2857,0.4975,10000.0,-2.250062,0.021648,1.098266,0.392503
74752,292,14.2857,0.4975,10000.0,-0.000749,0.08062,1.098308,0.041755
75008,293,14.2857,0.4975,10000.0,-3.979922,0.022618,1.098245,0.464398
75264,294,14.2857,0.4975,10000.0,0.657165,0.094159,1.098328,0.45248
75520,295,14.2857,0.4975,10000.0,-2.086832,0.036474,1.098322,0.490775
75776,296,14.2857,0.4975,10000.0,0.503058,0.10744,1.098391,0.362311
76032,297,14.2857,0.4975,10000.0,0.773156,0.089081,1.098341,0.487241
76288,298,14.2857,0.4975,10000.0,-2.716653,0.042013,1.098355,0.550266
76544,299,14.2857,0.4975,10000.0,0.552308,0.096078,1.098362,0.389488
76800,300,14.2857,0.4975,10000.0,-0.167831,0.064019,1.098364,0.129611
77056,301,14.2857,0.4975,10000.0,0.180074,0.071842,1.098361,0.121415
77312,302,14.2857,0.4975,10000.0,-3.409728,0.039214,1.098363,0.5576
77568,303,14.2857,0.4975,10000.0,-2.828074,0.04911,1.098362,0.60797
77824,304,14.2857,0.4975,10000.0,-2.281828,0.031058,1.098337,0.466758
78080,305,14.2857,0.4975,10000.0,-3.013416,0.023533,1.09837,0.452876
78336,306,14.2857,0.4975,10000.0,-2.737224,0.04847,1.098379,0.594282
78592,307,14.2857,0.4975,10000.0,0.706455,0.071005,1.098384,0.384562
78848,308,14.2857,0.4975,10000.0,-2.849996,0.012079,1.098335,0.38709
79104,309,14.2857,0.4975,10000.0,-1.608853,0.014002,1.098328,0.277179
79360,310,14.2857,0.4975,10000.0,-1.769151,0.019659,1.098385,0.338367
79616,311,14.2857,0.4975,10000.0,0.680918,0.130281,1.098317,0.513179
79872,312,14.2857,0.4975,10000.0,-0.793253,0.003606,1.098351,0.107415
80128,313,15.0,0.5089,10000.0,-1.462776,0.014083,1.098339,0.262189
80384,314,15.0,0.5089,10000.0,0.85722,0.122894,1.098337,0.590753
80640,315,15.0,0.5089,10000.0,-1.196956,0.010868,1.098344,0.223169
80896,316,15.0,0.5089,10000.0,-1.540244,0.011009,1.098366,0.266195
81152,317,15.0,0.5089,10000.0,-0.937226,0.01832,1.098381,0.235581
81408,318,15.0,0.5089,10000.0,0.868476,0.15151,1.098308,0.649357
81664,319,15.0,0.5089,10000.0,-0.505313,0.003908,1.098323,0.073617
81920,320,15.0,0.5089,10000.0,1.130462,0.126063,1.098343,0.664249
82176,321,15.0,0.5089,10000.0,0.959875,0.087594,1.098331,0.511786
82432,322,15.0,0.5089,10000.0,-0.776008,0.005972,1.098328,0.121419
82688,323,15.0,0.5089,10000.0,-1.004417,0.008034,1.098342,0.1606
82944,324,15.0,0.5089,10000.0,0.871885,0.087424,1.098337,0.46932
83200,325,15.0,0.5089,10000.0,-1.2125,0.004422,1.098256,0.151846
83456,326,15.0,0.5089,10000.0,-0.230776,0.00231,1.098248,0.027865
83712,327,15.0,0.5089,10000.0,0.222582,0.081004,1.098294,0.14862
83968,328,15.0,0.5089,10000.0,0.349205,0.121871,1.098261,0.302036
84224,329,15.0,0.5089,10000.0,-3.124931,0.004256,1.098238,0.267811
84480,330,15.0,0.5089,10000.0,-2.240942,0.016986,1.098305,0.318071
84736,331,15.0,0.5089,10000.0,-1.701724,0.008141,1.098272,0.218786
84992,332,15.0,0.5089,10000.0,-1.789235,0.008802,1.098275,0.222287
85248,333,15.0,0.5089,10000.0,1.181881,0.148945,1.098263,0.748601
85504,334,15.0,0.5089,10000.0,1.100638,0.115493,1.098274,0.647063
85760,335,15.0,0.5089,10000.0,-1.513875,0.008699,1.09822,0.243979
86016,336,15.0,0.5089,10000.0,0.758669,0.223515,1.098309,0.708555
86272,337,15.0,0.5089,10000.0,0.495641,0.105749,1.098268,0.351541
86528,338,15.0,0.5089,10000.0,-2.237849,0.006471,1.098259,0.27508
86784,339,15.0,0.5089,10000.0,0.797669,0.091399,1.098305,0.482998
87040,340,15.0,0.5089,10000.0,-2.23302,0.022102,1.098304,0.36803
87296,341,15.0,0.5089,10000.0,0.883052,0.11689,1.098301,0.56134
87552,342,15.0,0.5089,10000.0,-2.194197,0.009072,1.098272,0.332663
87808,343,15.0,0.5089,10000.0,0.162143,0.080728,1.098309,0.107532
88064,344,15.0,0.5089,10000.0,-1.718929,0.024991,1.098288,0.370862
88320,345,15.0,0.5089,10000.0,0.906132,0.104346,1.098318,0.53957
88576,346,15.0,0.5089,10000.0,-2.561529,0.014861,1.098265,0.371182
88832,347,15.0,0.5089,10000.0,-2.03593,0.023021,1.098281,0.376053
89088,348,15.0,0.5089,10000.0,-1.318692,0.02428,1.098305,0.320577
89344,349,15.0,0.5089,10000.0,-1.780188,0.028932,1.098317,0.379047
89600,350,15.0,0.5089,10000.0,-2.366085,0.027202,1.098319,0.428345
