steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
74496,291,25.47,550.0,0.018466,0.404576,1.097371,0.043637,0.818443
74752,292,25.47,550.0,0.012892,0.361186,1.097525,0.04541,0.585843
75008,293,25.5,550.0,0.005197,0.374855,1.097647,0.046456,0.21277
75264,294,25.5,550.0,0.022779,0.26615,1.097704,0.045356,1.064665
75520,295,25.47,550.0,0.012454,1.163688,1.097789,0.04574,0.58914
75776,296,25.47,550.0,-0.004003,0.23406,1.097892,0.047783,0.214352
76032,297,25.52,550.0,0.004505,0.203384,1.09794,0.046645,0.202914
76288,298,25.52,550.0,0.007469,0.212978,1.098006,0.047269,0.371251
76544,299,25.53,550.0,0.011765,0.238923,1.098047,0.047284,0.581283
76800,300,25.53,550.0,-0.007244,0.24025,1.098036,0.046147,0.361867
77056,301,25.55,550.0,-0.020541,0.64986,1.098054,0.04631,1.133573
77312,302,25.55,550.0,0.017545,0.328164,1.098088,0.047913,0.949125
77568,303,25.56,550.0,-0.045418,0.891644,1.098042,0.046676,2.486304
77824,304,25.56,550.0,0.010761,0.219697,1.098047,0.048017,0.570809
78080,305,25.56,550.0,-0.030351,0.445727,1.098028,0.048993,1.698449
78336,306,25.55,550.0,-0.008891,0.428456,1.098019,0.048559,0.499911
78592,307,25.55,550.0,0.001937,0.286498,1.098033,0.047915,0.114956
78848,308,25.48,550.0,-0.009677,0.871732,1.098032,0.046598,0.540547
79104,309,25.48,550.0,-0.030624,0.824036,1.098083,0.048176,1.710656
79360,310,25.43,550.0,0.013754,0.859735,1.098101,0.046854,0.698454
79616,311,25.43,550.0,-0.031545,0.449083,1.098168,0.048446,1.650244
79872,312,25.42,550.0,-0.011906,0.369003,1.098201,0.046907,0.680471
80128,313,25.42,550.0,-0.010639,0.397056,1.098248,0.047005,0.562116
80384,314,25.42,550.0,0.004147,0.204409,1.098285,0.046506,0.185171
80640,315,25.42,550.0,-0.040303,0.652913,1.098333,0.047104,1.977458
80896,316,25.42,550.0,-0.017139,0.496217,1.098359,0.046536,0.886239
81152,317,25.42,550.0,-0.010549,0.25328,1.098425,0.048971,0.530601
81408,318,25.36,550.0,-0.000957,0.206638,1.098423,0.044792,0.061725
81664,319,25.36,550.0,0.031248,0.415467,1.098478,0.046408,1.421857
